,index,1,0
0,287,((C4H11N))2((CH3NH3))3Pb4I13-specifier-None-PTAA- {'names',8.4
1,3783,((CH5N2)PbI3)0.85((CH3NH3)PbBr3)0.15-None-Au-FTO- {'specifier',18.51
2,443,((CH5N2)PbI3)0.85((CH3NH3)PbBr3)0.15-None-gold-FTO- {'specifier',14.9
3,3125,(5-AVA)x((CH3NH3))1-xPbI3-None-None-None-None,8.27
4,7135,(C8H11N)2SnI4-None-titanium dioxide-TiO2- 'titanium dioxide',8.75
5,6715,(CH3NH3)0.57(CH5N2)0.38Rb0.05PbI3-None-spiro - OMeTAD-ITO- {'specifier',16.68
6,4694,(CH3NH3)0.57(CH5N2)0.38Rb0.05PbI3-None-zinc oxide-ZnO- 'zinc oxide',15.81
7,4129,(CH3NH3)0.6(CH5N2)0.4PbI3-None-Spiro - OMeTAD-ITO- {'specifier',8.33
8,6222,(CH3NH3)0.6(CH5N2)0.4PbI3-table_caption-ZnO-ITO- {'specifier',13.97
9,5622,(CH3NH3)1−xEAxPbI3-None-spiro - MeOTAD-FTO- {'specifier',8.95
10,4556,(CH3NH3)PbCl3-None-None-silver-None,0.42
11,3698,"(CH3NH3)PbI3-4-butyl-N,N-diphenylaniline-poly-TPD-ITO- {'specifier'",17.2
12,4505,(CH3NH3)PbI3-None-Ag-ITO- {'specifier',18.11
13,7251,(CH3NH3)PbI3-None-Ag-NiO- {'specifier',18.53
14,6778,(CH3NH3)PbI3-None-Ag-glass- {'specifier',13.39
15,6643,(CH3NH3)PbI3-None-Cross-linked PTAA-ITO- {'specifier',5.64
16,6641,(CH3NH3)PbI3-None-Doped cross-linked PTAA-ITO- {'specifier',9.61
17,7435,(CH3NH3)PbI3-None-None-MoO3 / TBDI-None,14.85
18,3893,(CH3NH3)PbI3-None-None-None-None,8.66
19,7437,(CH3NH3)PbI3-None-None-PEDOT - ['PEDOT,14.85
20,7436,(CH3NH3)PbI3-None-None-PEDOT -None,14.85
21,142,(CH3NH3)PbI3-None-None-c-TiO2- ['c-TiO2',14.53
22,3799,(CH3NH3)PbI3-None-None-gold-None,9.76
23,3708,(CH3NH3)PbI3-None-None-silver-None,9.9
24,1735,(CH3NH3)PbI3-None-PC71BM-ITO- {'specifier',13.7
25,131,(CH3NH3)PbI3-None-PEDOT -FTO- {'specifier',11.42
26,1769,(CH3NH3)PbI3-None-PEDOT -ITO- {'specifier',11.0
27,2849,"(CH3NH3)PbI3-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",14.16
28,6634,(CH3NH3)PbI3-None-PTAA-ITO- {'specifier',10.43
29,1754,(CH3NH3)PbI3-None-Pentacene-ITO- {'specifier',5.6
30,1760,(CH3NH3)PbI3-None-Perylene-ITO- {'specifier',9.7
31,1134,(CH3NH3)PbI3-None-Spiro - OMeTAD-ITO- {'specifier',16.8
32,6764,"(CH3NH3)PbI3-None-Spiro-OMeTAD-Spiro - OMeTAD- ""2,2',7,7'-Tetrakis-(N,N-di-4-methoxyphenylamino)-9,9'-spirobifluorene""",8.25
33,5121,(CH3NH3)PbI3-None-TiO2-FTO- {'specifier',9.79
34,7439,(CH3NH3)PbI3-None-]}}}-TBDI- {'names',7.3
35,7340,(CH3NH3)PbI3-None-compound-FEH- {'value',16.9
36,7422,(CH3NH3)PbI3-None-document-0 / 0 / 0- 'Au',15.16
37,7423,(CH3NH3)PbI3-None-document-3 / 0 / 1- 'Au',15.99
38,7424,(CH3NH3)PbI3-None-document-3 / 1 / 1- 'Au',16.37
39,7427,(CH3NH3)PbI3-None-document-3 / 2 / 0.5- 'Au',16.32
40,7425,(CH3NH3)PbI3-None-document-3 / 2 / 1- 'Au',16.87
41,7428,(CH3NH3)PbI3-None-document-3 / 2 / 2- 'Au',16.01
42,7426,(CH3NH3)PbI3-None-document-3 / 3 / 1- 'Au',16.19
43,143,(CH3NH3)PbI3-None-document-c- / m-TiO2- 'Spiro - OMeTAD',17.47
44,1267,(CH3NH3)PbI3-None-document-tin oxide- 'SnO2',15.94
45,538,(CH3NH3)PbI3-None-spiro - MeOTAD-glass- {'specifier',9.65
46,5865,(CH3NH3)PbI3-None-spiro - OMeTAD-FTO- {'specifier',19.34
47,6640,(CH3NH3)PbI3-None-spiro - OMeTAD-ITO- {'specifier',13.74
